trial,cond,face,subj,acc,order,fam,grp
Johan_0,1,Johan,1,1,4,10,cbu
Tina_0,1,Tina,1,1,4,3,cbu
Steve_0,1,Steve,1,0,4,6,cbu
Rik_0,1,Rik,1,1,4,10,cbu
Sneha_0,1,Sneha,1,1,4,10,cbu
Verity_0,1,Verity,1,0,4,6,cbu
Holly_0,1,Holly,1,0,4,3,cbu
Clare_0,1,Clare,1,0,4,4,cbu
Marta_0,1,Marta,1,1,4,10,cbu
Matt_0,1,Matt,1,0,4,8,cbu
Johan_0,1,Johan,2,1,4,10,cbu
Tina_0,1,Tina,2,1,4,10,cbu
Steve_0,1,Steve,2,0,4,8,cbu
Rik_0,1,Rik,2,1,4,10,cbu
Sneha_0,1,Sneha,2,1,4,7,cbu
Verity_0,1,Verity,2,1,4,10,cbu
Holly_0,1,Holly,2,1,4,7,cbu
Clare_0,1,Clare,2,0,4,10,cbu
Marta_0,1,Marta,2,0,4,10,cbu
Matt_0,1,Matt,2,0,4,10,cbu
Johan_0,1,Johan,3,1,3,10,cbu
Tina_0,1,Tina,3,1,3,8,cbu
Steve_0,1,Steve,3,1,3,9,cbu
Rik_0,1,Rik,3,1,3,10,cbu
Sneha_0,1,Sneha,3,1,3,10,cbu
Verity_0,1,Verity,3,0,3,10,cbu
Holly_0,1,Holly,3,1,3,3,cbu
Clare_0,1,Clare,3,0,3,7,cbu
Marta_0,1,Marta,3,0,3,9,cbu
Matt_0,1,Matt,3,0,3,9,cbu
Johan_0,1,Johan,4,1,4,9,cbu
Tina_0,1,Tina,4,0,4,7,cbu
Steve_0,1,Steve,4,1,4,8,cbu
Rik_0,1,Rik,4,1,4,8,cbu
Sneha_0,1,Sneha,4,1,4,6,cbu
Verity_0,1,Verity,4,1,4,5,cbu
Holly_0,1,Holly,4,1,4,6,cbu
Clare_0,1,Clare,4,0,4,7,cbu
Marta_0,1,Marta,4,0,4,8,cbu
Matt_0,1,Matt,4,0,4,8,cbu
Johan_0,1,Johan,5,1,1,7,cbu
Tina_0,1,Tina,5,1,1,10,cbu
Steve_0,1,Steve,5,1,1,9,cbu
Rik_0,1,Rik,5,0,1,8,cbu
Sneha_0,1,Sneha,5,1,1,8,cbu
Verity_0,1,Verity,5,0,1,8,cbu
Holly_0,1,Holly,5,0,1,7,cbu
Clare_0,1,Clare,5,1,1,10,cbu
Marta_0,1,Marta,5,0,1,7,cbu
Matt_0,1,Matt,5,0,1,7,cbu
Johan_0,1,Johan,6,1,1,10,cbu
Tina_0,1,Tina,6,1,1,10,cbu
Steve_0,1,Steve,6,1,1,8,cbu
Rik_0,1,Rik,6,1,1,10,cbu
Sneha_0,1,Sneha,6,1,1,9,cbu
Verity_0,1,Verity,6,0,1,8,cbu
Holly_0,1,Holly,6,0,1,9,cbu
Clare_0,1,Clare,6,1,1,10,cbu
Marta_0,1,Marta,6,0,1,10,cbu
Matt_0,1,Matt,6,0,1,10,cbu
Johan_0,1,Johan,7,1,1,8,cbu
Tina_0,1,Tina,7,1,1,10,cbu
Steve_0,1,Steve,7,1,1,10,cbu
Rik_0,1,Rik,7,1,1,10,cbu
Sneha_0,1,Sneha,7,1,1,10,cbu
Verity_0,1,Verity,7,0,1,10,cbu
Holly_0,1,Holly,7,0,1,10,cbu
Clare_0,1,Clare,7,0,1,10,cbu
Marta_0,1,Marta,7,0,1,10,cbu
Matt_0,1,Matt,7,0,1,10,cbu
Johan_0,1,Johan,8,1,2,8,cbu
Tina_0,1,Tina,8,1,2,9,cbu
Steve_0,1,Steve,8,0,2,9,cbu
Rik_0,1,Rik,8,0,2,10,cbu
Sneha_0,1,Sneha,8,1,2,7,cbu
Verity_0,1,Verity,8,1,2,7,cbu
Holly_0,1,Holly,8,1,2,8,cbu
Clare_0,1,Clare,8,1,2,8,cbu
Marta_0,1,Marta,8,1,2,7,cbu
Matt_0,1,Matt,8,0,2,9,cbu
Johan_0,1,Johan,9,1,2,5,cbu
Tina_0,1,Tina,9,1,2,5,cbu
Steve_0,1,Steve,9,1,2,7,cbu
Rik_0,1,Rik,9,1,2,7,cbu
Sneha_0,1,Sneha,9,1,2,3,cbu
Verity_0,1,Verity,9,0,2,3,cbu
Holly_0,1,Holly,9,0,2,8,cbu
Clare_0,1,Clare,9,0,2,8,cbu
Marta_0,1,Marta,9,1,2,6,cbu
Matt_0,1,Matt,9,1,2,6,cbu
Johan_0,1,Johan,10,1,3,9,cbu
Tina_0,1,Tina,10,0,3,9,cbu
Steve_0,1,Steve,10,0,3,9,cbu
Rik_0,1,Rik,10,1,3,10,cbu
Sneha_0,1,Sneha,10,1,3,8,cbu
Verity_0,1,Verity,10,0,3,9,cbu
Holly_0,1,Holly,10,0,3,7,cbu
Clare_0,1,Clare,10,1,3,8,cbu
Marta_0,1,Marta,10,1,3,8,cbu
Matt_0,1,Matt,10,0,3,8,cbu
Johan_0,1,Johan,11,1,3,9,cbu
Tina_0,1,Tina,11,1,3,10,cbu
Steve_0,1,Steve,11,0,3,10,cbu
Rik_0,1,Rik,11,1,3,10,cbu
Sneha_0,1,Sneha,11,0,3,8,cbu
Verity_0,1,Verity,11,0,3,9,cbu
Holly_0,1,Holly,11,1,3,10,cbu
Clare_0,1,Clare,11,0,3,10,cbu
Marta_0,1,Marta,11,1,3,10,cbu
Matt_0,1,Matt,11,0,3,10,cbu
Johan_0,1,Johan,12,1,4,10,cbu
Tina_0,1,Tina,12,1,4,10,cbu
Steve_0,1,Steve,12,1,4,10,cbu
Rik_0,1,Rik,12,1,4,10,cbu
Sneha_0,1,Sneha,12,0,4,6,cbu
Verity_0,1,Verity,12,0,4,4,cbu
Holly_0,1,Holly,12,0,4,4,cbu
Clare_0,1,Clare,12,0,4,10,cbu
Marta_0,1,Marta,12,1,4,2,cbu
Matt_0,1,Matt,12,0,4,10,cbu
Johan_0,1,Johan,13,1,2,7,cbu
Tina_0,1,Tina,13,0,2,6,cbu
Steve_0,1,Steve,13,1,2,6,cbu
Rik_0,1,Rik,13,1,2,7,cbu
Sneha_0,1,Sneha,13,1,2,5,cbu
Verity_0,1,Verity,13,0,2,4,cbu
Holly_0,1,Holly,13,0,2,3,cbu
Clare_0,1,Clare,13,1,2,6,cbu
Marta_0,1,Marta,13,0,2,6,cbu
Matt_0,1,Matt,13,0,2,4,cbu
Johan_0,1,Johan,14,1,4,8,cbu
Tina_0,1,Tina,14,1,4,10,cbu
Steve_0,1,Steve,14,0,4,8,cbu
Rik_0,1,Rik,14,0,4,9,cbu
Sneha_0,1,Sneha,14,0,4,3,cbu
Verity_0,1,Verity,14,0,4,0,cbu
Holly_0,1,Holly,14,0,4,10,cbu
Clare_0,1,Clare,14,0,4,10,cbu
Marta_0,1,Marta,14,1,4,8,cbu
Matt_0,1,Matt,14,0,4,7,cbu
Johan_0,1,Johan,15,1,3,6,cbu
Tina_0,1,Tina,15,0,3,9,cbu
Steve_0,1,Steve,15,1,3,6,cbu
Rik_0,1,Rik,15,1,3,8,cbu
Sneha_0,1,Sneha,15,1,3,4,cbu
Verity_0,1,Verity,15,0,3,4,cbu
Holly_0,1,Holly,15,0,3,3,cbu
Clare_0,1,Clare,15,0,3,9,cbu
Marta_0,1,Marta,15,1,3,8,cbu
Matt_0,1,Matt,15,0,3,10,cbu
Johan_0,1,Johan,16,1,4,8,cbu
Tina_0,1,Tina,16,1,4,5,cbu
Steve_0,1,Steve,16,0,4,6,cbu
Rik_0,1,Rik,16,1,4,7,cbu
Sneha_0,1,Sneha,16,1,4,10,cbu
Verity_0,1,Verity,16,0,4,7,cbu
Holly_0,1,Holly,16,0,4,7,cbu
Clare_0,1,Clare,16,0,4,6,cbu
Marta_0,1,Marta,16,1,4,10,cbu
Matt_0,1,Matt,16,0,4,7,cbu
Johan_0,1,Johan,17,1,2,8,cbu
Tina_0,1,Tina,17,0,2,8,cbu
Steve_0,1,Steve,17,0,2,8,cbu
Rik_0,1,Rik,17,1,2,8,cbu
Sneha_0,1,Sneha,17,0,2,6,cbu
Verity_0,1,Verity,17,0,2,6,cbu
Holly_0,1,Holly,17,1,2,6,cbu
Clare_0,1,Clare,17,1,2,9,cbu
Marta_0,1,Marta,17,1,2,9,cbu
Matt_0,1,Matt,17,0,2,8,cbu
Johan_0,1,Johan,18,1,4,5,cbu
Tina_0,1,Tina,18,0,4,7,cbu
Steve_0,1,Steve,18,0,4,8,cbu
Rik_0,1,Rik,18,0,4,8,cbu
Sneha_0,1,Sneha,18,0,4,6,cbu
Verity_0,1,Verity,18,0,4,5,cbu
Holly_0,1,Holly,18,0,4,5,cbu
Clare_0,1,Clare,18,1,4,7,cbu
Marta_0,1,Marta,18,0,4,7,cbu
Matt_0,1,Matt,18,0,4,7,cbu
Johan_0,1,Johan,19,1,4,7,cbu
Tina_0,1,Tina,19,1,4,7,cbu
Steve_0,1,Steve,19,1,4,2,cbu
Rik_0,1,Rik,19,0,4,7,cbu
Sneha_0,1,Sneha,19,1,4,2,cbu
Verity_0,1,Verity,19,1,4,4,cbu
Holly_0,1,Holly,19,0,4,2,cbu
Clare_0,1,Clare,19,1,4,4,cbu
Marta_0,1,Marta,19,0,4,6,cbu
Matt_0,1,Matt,19,0,4,9,cbu
Johan_0,1,Johan,20,1,1,9,cbu
Tina_0,1,Tina,20,1,1,5,cbu
Steve_0,1,Steve,20,1,1,6,cbu
Rik_0,1,Rik,20,1,1,9,cbu
Sneha_0,1,Sneha,20,1,1,8,cbu
Verity_0,1,Verity,20,0,1,5,cbu
Holly_0,1,Holly,20,0,1,1,cbu
Clare_0,1,Clare,20,1,1,6,cbu
Marta_0,1,Marta,20,0,1,6,cbu
Matt_0,1,Matt,20,0,1,7,cbu
Johan_0,1,Johan,21,1,1,10,cbu
Tina_0,1,Tina,21,1,1,10,cbu
Steve_0,1,Steve,21,0,1,10,cbu
Rik_0,1,Rik,21,1,1,10,cbu
Sneha_0,1,Sneha,21,1,1,7,cbu
Verity_0,1,Verity,21,1,1,7,cbu
Holly_0,1,Holly,21,0,1,10,cbu
Clare_0,1,Clare,21,1,1,10,cbu
Marta_0,1,Marta,21,0,1,9,cbu
Matt_0,1,Matt,21,0,1,9,cbu
Johan_0,1,Johan,22,0,1,8,cbu
Tina_0,1,Tina,22,1,1,8,cbu
Steve_0,1,Steve,22,0,1,10,cbu
Rik_0,1,Rik,22,1,1,10,cbu
Sneha_0,1,Sneha,22,1,1,5,cbu
Verity_0,1,Verity,22,0,1,5,cbu
Holly_0,1,Holly,22,1,1,7,cbu
Clare_0,1,Clare,22,0,1,8,cbu
Marta_0,1,Marta,22,0,1,7,cbu
Matt_0,1,Matt,22,0,1,8,cbu
Johan_0,1,Johan,23,1,2,10,cbu
Tina_0,1,Tina,23,1,2,10,cbu
Steve_0,1,Steve,23,0,2,10,cbu
Rik_0,1,Rik,23,0,2,10,cbu
Sneha_0,1,Sneha,23,1,2,10,cbu
Verity_0,1,Verity,23,1,2,10,cbu
Holly_0,1,Holly,23,1,2,10,cbu
Clare_0,1,Clare,23,0,2,10,cbu
Marta_0,1,Marta,23,1,2,10,cbu
Matt_0,1,Matt,23,1,2,10,cbu
Johan_0,1,Johan,24,1,4,9,cbu
Tina_0,1,Tina,24,1,4,8,cbu
Steve_0,1,Steve,24,1,4,4,cbu
Rik_0,1,Rik,24,1,4,9,cbu
Sneha_0,1,Sneha,24,0,4,5,cbu
Verity_0,1,Verity,24,0,4,5,cbu
Holly_0,1,Holly,24,0,4,4,cbu
Clare_0,1,Clare,24,1,4,6,cbu
Marta_0,1,Marta,24,1,4,6,cbu
Matt_0,1,Matt,24,1,4,8,cbu
Johan_0,1,Johan,25,1,1,9,cbu
Tina_0,1,Tina,25,1,1,8,cbu
Steve_0,1,Steve,25,0,1,7,cbu
Rik_0,1,Rik,25,1,1,9,cbu
Sneha_0,1,Sneha,25,1,1,8,cbu
Verity_0,1,Verity,25,0,1,8,cbu
Holly_0,1,Holly,25,0,1,2,cbu
Clare_0,1,Clare,25,0,1,6,cbu
Marta_0,1,Marta,25,0,1,9,cbu
Matt_0,1,Matt,25,0,1,10,cbu
Johan_0,1,Johan,26,1,2,9,cbu
Tina_0,1,Tina,26,0,2,8,cbu
Steve_0,1,Steve,26,0,2,5,cbu
Rik_0,1,Rik,26,0,2,9,cbu
Sneha_0,1,Sneha,26,1,2,7,cbu
Verity_0,1,Verity,26,0,2,7,cbu
Holly_0,1,Holly,26,0,2,6,cbu
Clare_0,1,Clare,26,0,2,2,cbu
Marta_0,1,Marta,26,1,2,8,cbu
Matt_0,1,Matt,26,0,2,5,cbu
Johan_0,1,Johan,27,1,2,9,cbu
Tina_0,1,Tina,27,1,2,9,cbu
Steve_0,1,Steve,27,1,2,9,cbu
Rik_0,1,Rik,27,1,2,9,cbu
Sneha_0,1,Sneha,27,1,2,9,cbu
Verity_0,1,Verity,27,1,2,9,cbu
Holly_0,1,Holly,27,1,2,8,cbu
Clare_0,1,Clare,27,1,2,9,cbu
Marta_0,1,Marta,27,1,2,9,cbu
Matt_0,1,Matt,27,0,2,9,cbu
Johan_0,1,Johan,28,1,3,10,cbu
Tina_0,1,Tina,28,1,3,8,cbu
Steve_0,1,Steve,28,0,3,10,cbu
Rik_0,1,Rik,28,1,3,8,cbu
Sneha_0,1,Sneha,28,1,3,8,cbu
Verity_0,1,Verity,28,0,3,6,cbu
Holly_0,1,Holly,28,1,3,7,cbu
Clare_0,1,Clare,28,1,3,10,cbu
Marta_0,1,Marta,28,0,3,7,cbu
Matt_0,1,Matt,28,1,3,10,cbu
Johan_0,1,Johan,29,1,2,7,cbu
Tina_0,1,Tina,29,1,2,6,cbu
Steve_0,1,Steve,29,0,2,5,cbu
Rik_0,1,Rik,29,0,2,8,cbu
Sneha_0,1,Sneha,29,1,2,9,cbu
Verity_0,1,Verity,29,1,2,9,cbu
Holly_0,1,Holly,29,0,2,6,cbu
Clare_0,1,Clare,29,1,2,2,cbu
Marta_0,1,Marta,29,1,2,9,cbu
Matt_0,1,Matt,29,0,2,8,cbu
Johan_0,1,Johan,30,1,1,10,cbu
Tina_0,1,Tina,30,0,1,10,cbu
Steve_0,1,Steve,30,0,1,10,cbu
Rik_0,1,Rik,30,1,1,10,cbu
Sneha_0,1,Sneha,30,1,1,10,cbu
Verity_0,1,Verity,30,0,1,10,cbu
Holly_0,1,Holly,30,0,1,10,cbu
Clare_0,1,Clare,30,0,1,10,cbu
Marta_0,1,Marta,30,0,1,10,cbu
Matt_0,1,Matt,30,0,1,10,cbu
Johan_0,1,Johan,31,1,4,8,cbu
Tina_0,1,Tina,31,0,4,8,cbu
Steve_0,1,Steve,31,1,4,4,cbu
Rik_0,1,Rik,31,1,4,10,cbu
Sneha_0,1,Sneha,31,1,4,9,cbu
Verity_0,1,Verity,31,1,4,6,cbu
Holly_0,1,Holly,31,1,4,3,cbu
Clare_0,1,Clare,31,1,4,7,cbu
Marta_0,1,Marta,31,1,4,7,cbu
Matt_0,1,Matt,31,0,4,10,cbu
Johan_0,1,Johan,32,1,3,7,cbu
Tina_0,1,Tina,32,0,3,5,cbu
Steve_0,1,Steve,32,0,3,9,cbu
Rik_0,1,Rik,32,1,3,9,cbu
Sneha_0,1,Sneha,32,1,3,4,cbu
Verity_0,1,Verity,32,0,3,3,cbu
Holly_0,1,Holly,32,1,3,2,cbu
Clare_0,1,Clare,32,1,3,3,cbu
Marta_0,1,Marta,32,1,3,9,cbu
Matt_0,1,Matt,32,0,3,9,cbu
Johan_0,1,Johan,33,1,3,7,cbu
Tina_0,1,Tina,33,1,3,7,cbu
Steve_0,1,Steve,33,0,3,7,cbu
Rik_0,1,Rik,33,1,3,9,cbu
Sneha_0,1,Sneha,33,0,3,5,cbu
Verity_0,1,Verity,33,0,3,1,cbu
Holly_0,1,Holly,33,0,3,3,cbu
Clare_0,1,Clare,33,0,3,8,cbu
Marta_0,1,Marta,33,0,3,7,cbu
Matt_0,1,Matt,33,0,3,7,cbu
Johan_0,1,Johan,34,1,4,7,cbu
Tina_0,1,Tina,34,1,4,9,cbu
Steve_0,1,Steve,34,0,4,5,cbu
Rik_0,1,Rik,34,1,4,10,cbu
Sneha_0,1,Sneha,34,1,4,7,cbu
Verity_0,1,Verity,34,1,4,10,cbu
Holly_0,1,Holly,34,1,4,1,cbu
Clare_0,1,Clare,34,1,4,3,cbu
Marta_0,1,Marta,34,1,4,10,cbu
Matt_0,1,Matt,34,0,4,7,cbu
Johan_0,1,Johan,35,1,4,8,cbu
Tina_0,1,Tina,35,0,4,8,cbu
Steve_0,1,Steve,35,1,4,7,cbu
Rik_0,1,Rik,35,1,4,9,cbu
Sneha_0,1,Sneha,35,1,4,6,cbu
Verity_0,1,Verity,35,0,4,9,cbu
Holly_0,1,Holly,35,0,4,8,cbu
Clare_0,1,Clare,35,0,4,5,cbu
Marta_0,1,Marta,35,1,4,8,cbu
Matt_0,1,Matt,35,1,4,9,cbu
Johan_0,1,Johan,36,1,1,8,cbu
Tina_0,1,Tina,36,1,1,5,cbu
Steve_0,1,Steve,36,1,1,8,cbu
Rik_0,1,Rik,36,1,1,8,cbu
Sneha_0,1,Sneha,36,1,1,5,cbu
Verity_0,1,Verity,36,1,1,5,cbu
Holly_0,1,Holly,36,1,1,5,cbu
Clare_0,1,Clare,36,1,1,8,cbu
Marta_0,1,Marta,36,0,1,8,cbu
Matt_0,1,Matt,36,1,1,8,cbu
Johan_0,1,Johan,37,1,3,10,cbu
Tina_0,1,Tina,37,1,3,9,cbu
Steve_0,1,Steve,37,1,3,6,cbu
Rik_0,1,Rik,37,1,3,9,cbu
Sneha_0,1,Sneha,37,1,3,8,cbu
Verity_0,1,Verity,37,1,3,7,cbu
Holly_0,1,Holly,37,1,3,7,cbu
Clare_0,1,Clare,37,1,3,10,cbu
Marta_0,1,Marta,37,1,3,9,cbu
Matt_0,1,Matt,37,0,3,10,cbu
Johan_0,1,Johan,38,1,4,7,cbu
Tina_0,1,Tina,38,1,4,5,cbu
Steve_0,1,Steve,38,1,4,5,cbu
Rik_0,1,Rik,38,0,4,8,cbu
Sneha_0,1,Sneha,38,1,4,7,cbu
Verity_0,1,Verity,38,1,4,4,cbu
Holly_0,1,Holly,38,1,4,3,cbu
Clare_0,1,Clare,38,1,4,8,cbu
Marta_0,1,Marta,38,1,4,3,cbu
Matt_0,1,Matt,38,1,4,8,cbu
Johan_0,1,Johan,39,1,1,4,cbu
Tina_0,1,Tina,39,0,1,1,cbu
Steve_0,1,Steve,39,1,1,3,cbu
Rik_0,1,Rik,39,1,1,5,cbu
Sneha_0,1,Sneha,39,1,1,0,cbu
Verity_0,1,Verity,39,0,1,2,cbu
Holly_0,1,Holly,39,0,1,0,cbu
Clare_0,1,Clare,39,0,1,0,cbu
Marta_0,1,Marta,39,0,1,4,cbu
Matt_0,1,Matt,39,0,1,3,cbu
Johan_0,1,Johan,40,1,4,4,cbu
Tina_0,1,Tina,40,0,4,0,cbu
Steve_0,1,Steve,40,0,4,0,cbu
Rik_0,1,Rik,40,0,4,8,cbu
Sneha_0,1,Sneha,40,1,4,2,cbu
Verity_0,1,Verity,40,1,4,1,cbu
Holly_0,1,Holly,40,0,4,0,cbu
Clare_0,1,Clare,40,1,4,4,cbu
Marta_0,1,Marta,40,0,4,6,cbu
Matt_0,1,Matt,40,0,4,6,cbu
Johan_0,1,Johan,41,1,3,9,cbu
Tina_0,1,Tina,41,1,3,10,cbu
Steve_0,1,Steve,41,1,3,6,cbu
Rik_0,1,Rik,41,1,3,10,cbu
Sneha_0,1,Sneha,41,1,3,3,cbu
Verity_0,1,Verity,41,1,3,3,cbu
Holly_0,1,Holly,41,0,3,6,cbu
Clare_0,1,Clare,41,1,3,10,cbu
Marta_0,1,Marta,41,1,3,8,cbu
Matt_0,1,Matt,41,0,3,10,cbu
Johan_0,1,Johan,42,1,1,10,cbu
Tina_0,1,Tina,42,0,1,10,cbu
Steve_0,1,Steve,42,0,1,9,cbu
Rik_0,1,Rik,42,0,1,10,cbu
Sneha_0,1,Sneha,42,0,1,8,cbu
Verity_0,1,Verity,42,0,1,6,cbu
Holly_0,1,Holly,42,1,1,5,cbu
Clare_0,1,Clare,42,0,1,7,cbu
Marta_0,1,Marta,42,0,1,10,cbu
Matt_0,1,Matt,42,0,1,10,cbu
Johan_0,1,Johan,43,1,1,7,cbu
Tina_0,1,Tina,43,1,1,10,cbu
Steve_0,1,Steve,43,0,1,8,cbu
Rik_0,1,Rik,43,0,1,7,cbu
Sneha_0,1,Sneha,43,1,1,3,cbu
Verity_0,1,Verity,43,0,1,2,cbu
Holly_0,1,Holly,43,0,1,1,cbu
Clare_0,1,Clare,43,0,1,2,cbu
Marta_0,1,Marta,43,0,1,5,cbu
Matt_0,1,Matt,43,0,1,6,cbu
Johan_0,1,Johan,44,1,4,6,cbu
Tina_0,1,Tina,44,1,4,6,cbu
Steve_0,1,Steve,44,0,4,5,cbu
Rik_0,1,Rik,44,1,4,6,cbu
Sneha_0,1,Sneha,44,1,4,4,cbu
Verity_0,1,Verity,44,1,4,3,cbu
Holly_0,1,Holly,44,1,4,6,cbu
Clare_0,1,Clare,44,1,4,7,cbu
Marta_0,1,Marta,44,1,4,7,cbu
Matt_0,1,Matt,44,0,4,7,cbu
Johan_0,1,Johan,45,0,4,7,cbu
Tina_0,1,Tina,45,0,4,5,cbu
Steve_0,1,Steve,45,0,4,4,cbu
Rik_0,1,Rik,45,1,4,10,cbu
Sneha_0,1,Sneha,45,0,4,7,cbu
Verity_0,1,Verity,45,0,4,8,cbu
Holly_0,1,Holly,45,0,4,2,cbu
Clare_0,1,Clare,45,0,4,1,cbu
Marta_0,1,Marta,45,0,4,4,cbu
Matt_0,1,Matt,45,0,4,6,cbu
Johan_0,1,Johan,46,1,2,10,cbu
Tina_0,1,Tina,46,0,2,6,cbu
Steve_0,1,Steve,46,1,2,7,cbu
Rik_0,1,Rik,46,0,2,10,cbu
Sneha_0,1,Sneha,46,0,2,7,cbu
Verity_0,1,Verity,46,0,2,9,cbu
Holly_0,1,Holly,46,0,2,1,cbu
Clare_0,1,Clare,46,1,2,4,cbu
Marta_0,1,Marta,46,1,2,8,cbu
Matt_0,1,Matt,46,0,2,10,cbu
Johan_0,1,Johan,47,1,2,8,cbu
Tina_0,1,Tina,47,0,2,9,cbu
Steve_0,1,Steve,47,1,2,9,cbu
Rik_0,1,Rik,47,0,2,9,cbu
Sneha_0,1,Sneha,47,0,2,9,cbu
Verity_0,1,Verity,47,0,2,9,cbu
Holly_0,1,Holly,47,0,2,5,cbu
Clare_0,1,Clare,47,0,2,6,cbu
Marta_0,1,Marta,47,1,2,9,cbu
Matt_0,1,Matt,47,0,2,9,cbu
Johan_0,1,Johan,48,0,4,9,cbu
Tina_0,1,Tina,48,0,4,8,cbu
Steve_0,1,Steve,48,0,4,7,cbu
Rik_0,1,Rik,48,0,4,9,cbu
Sneha_0,1,Sneha,48,0,4,9,cbu
Verity_0,1,Verity,48,0,4,6,cbu
Holly_0,1,Holly,48,0,4,9,cbu
Clare_0,1,Clare,48,0,4,10,cbu
Marta_0,1,Marta,48,0,4,8,cbu
Matt_0,1,Matt,48,0,4,10,cbu
Johan_0,1,Johan,49,0,3,9,cbu
Tina_0,1,Tina,49,0,3,5,cbu
Steve_0,1,Steve,49,0,3,7,cbu
Rik_0,1,Rik,49,0,3,5,cbu
Sneha_0,1,Sneha,49,0,3,6,cbu
Verity_0,1,Verity,49,0,3,6,cbu
Holly_0,1,Holly,49,1,3,0,cbu
Clare_0,1,Clare,49,0,3,4,cbu
Marta_0,1,Marta,49,0,3,9,cbu
Matt_0,1,Matt,49,0,3,6,cbu
Johan_0,1,Johan,50,0,2,6,cbu
Tina_0,1,Tina,50,0,2,7,cbu
Steve_0,1,Steve,50,0,2,5,cbu
Rik_0,1,Rik,50,0,2,7,cbu
Sneha_0,1,Sneha,50,0,2,6,cbu
Verity_0,1,Verity,50,0,2,6,cbu
Holly_0,1,Holly,50,0,2,0,cbu
Clare_0,1,Clare,50,0,2,5,cbu
Marta_0,1,Marta,50,1,2,4,cbu
Matt_0,1,Matt,50,0,2,6,cbu
Johan_2,2,Johan,1,0,1,10,cbu
Tina_2,2,Tina,1,0,1,3,cbu
Steve_2,2,Steve,1,0,1,6,cbu
Rik_2,2,Rik,1,0,1,10,cbu
Sneha_2,2,Sneha,1,0,1,10,cbu
Verity_2,2,Verity,1,1,1,6,cbu
Holly_2,2,Holly,1,0,1,3,cbu
Clare_2,2,Clare,1,0,1,4,cbu
Marta_2,2,Marta,1,1,1,10,cbu
Matt_2,2,Matt,1,0,1,8,cbu
Johan_2,2,Johan,2,0,2,10,cbu
Tina_2,2,Tina,2,0,2,10,cbu
Steve_2,2,Steve,2,1,2,8,cbu
Rik_2,2,Rik,2,0,2,10,cbu
Sneha_2,2,Sneha,2,0,2,7,cbu
Verity_2,2,Verity,2,0,2,10,cbu
Holly_2,2,Holly,2,0,2,7,cbu
Clare_2,2,Clare,2,0,2,10,cbu
Marta_2,2,Marta,2,1,2,10,cbu
Matt_2,2,Matt,2,0,2,10,cbu
Johan_2,2,Johan,3,1,4,10,cbu
Tina_2,2,Tina,3,0,4,8,cbu
Steve_2,2,Steve,3,0,4,9,cbu
Rik_2,2,Rik,3,0,4,10,cbu
Sneha_2,2,Sneha,3,0,4,10,cbu
Verity_2,2,Verity,3,0,4,10,cbu
Holly_2,2,Holly,3,0,4,3,cbu
Clare_2,2,Clare,3,1,4,7,cbu
Marta_2,2,Marta,3,0,4,9,cbu
Matt_2,2,Matt,3,0,4,9,cbu
Johan_2,2,Johan,4,0,1,9,cbu
Tina_2,2,Tina,4,0,1,7,cbu
Steve_2,2,Steve,4,1,1,8,cbu
Rik_2,2,Rik,4,1,1,8,cbu
Sneha_2,2,Sneha,4,0,1,6,cbu
Verity_2,2,Verity,4,1,1,5,cbu
Holly_2,2,Holly,4,1,1,6,cbu
Clare_2,2,Clare,4,0,1,7,cbu
Marta_2,2,Marta,4,1,1,8,cbu
Matt_2,2,Matt,4,0,1,8,cbu
Johan_2,2,Johan,5,0,3,7,cbu
Tina_2,2,Tina,5,1,3,10,cbu
Steve_2,2,Steve,5,0,3,9,cbu
Rik_2,2,Rik,5,0,3,8,cbu
Sneha_2,2,Sneha,5,0,3,8,cbu
